"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Davante Adams","GB","122.5","1,461.8","12.8","0.0","0.0","0.0","0.8","343.7"
"Tyreek Hill","KC","100.2","1,436.1","12.3","12.9","82.4","0.8","0.7","329.5"
"Stefon Diggs","BUF","113.6","1,476.5","9.2","2.4","15.6","0.1","1.2","316.1"
"DeAndre Hopkins","ARI","122.1","1,468.1","7.7","0.9","4.4","0.0","1.5","312.4"
"Calvin Ridley","ATL","99.8","1,422.2","8.8","4.6","26.1","0.1","0.8","296.5"
"Keenan Allen","LAC","111.3","1,209.3","7.9","3.0","16.3","0.1","1.0","279.8"
"Justin Jefferson","MIN","93.5","1,391.6","7.9","0.4","1.5","0.0","0.8","278.6"
"D.K. Metcalf","SEA","86.6","1,300.6","10.0","0.3","1.3","0.0","1.4","273.8"
"A.J. Brown","TEN","84.4","1,266.4","9.8","0.5","7.5","0.0","0.9","268.7"
"Allen Robinson II","CHI","98.6","1,227.6","7.0","0.3","0.3","0.0","0.7","261.8"
"Robert Woods","LAR","98.0","1,088.0","6.0","17.0","106.2","0.9","0.8","257.3"
"Terry McLaurin","WAS","91.6","1,235.3","6.5","1.8","12.1","0.1","0.7","254.4"
"Amari Cooper","DAL","90.3","1,195.0","7.2","2.6","11.7","0.0","0.7","252.8"
"Tyler Lockett","SEA","92.4","1,051.2","8.3","1.1","2.7","0.0","0.7","246.4"
"Cooper Kupp","LAR","93.0","1,068.2","7.2","3.9","23.6","0.1","0.7","244.1"
"Mike Evans","TB","76.1","1,114.0","9.4","0.0","0.0","0.0","0.7","242.6"
"CeeDee Lamb","DAL","83.9","1,090.3","6.6","8.4","61.2","0.6","0.8","240.6"
"Adam Thielen","MIN","79.5","1,020.9","9.2","3.2","14.6","0.3","0.7","238.4"
"D.J. Moore","CAR","83.2","1,198.8","5.4","3.1","20.1","0.1","0.8","236.5"
"Julio Jones","TEN","78.7","1,113.5","7.3","0.5","-0.5","0.0","0.7","232.4"
"Chris Godwin","TB","82.1","1,067.8","7.5","0.3","2.0","0.0","0.8","232.2"
"Diontae Johnson","PIT","94.0","982.5","6.3","4.4","27.3","0.1","1.4","230.3"
"Tee Higgins","CIN","79.2","1,058.2","6.4","2.3","12.4","0.0","0.8","223.2"
"Courtland Sutton","DEN","74.3","1,055.3","6.7","1.7","9.4","0.0","0.8","219.4"
"JuJu Smith-Schuster","PIT","89.4","903.2","6.7","0.0","0.0","0.0","0.9","218.1"
"Odell Beckham Jr.","CLE","71.1","993.9","6.5","5.7","50.9","0.3","0.7","215.1"
"Kenny Golladay","NYG","71.1","1,055.9","6.6","0.0","0.0","0.0","0.7","215.1"
"Ja'Marr Chase","CIN","73.3","1,059.4","6.2","1.5","8.2","0.0","1.2","214.7"
"D.J. Chark Jr.","JAC","75.3","1,005.8","6.5","0.3","3.3","0.0","0.6","213.9"
"Brandon Aiyuk","SF","72.1","915.3","6.3","14.6","82.4","0.7","0.7","212.3"
"Brandin Cooks","HOU","75.2","1,051.2","5.3","0.8","6.8","0.0","0.7","211.2"
"Robby Anderson","CAR","80.4","991.3","5.2","2.5","12.3","0.1","0.8","210.9"
"Tyler Boyd","CIN","83.0","923.1","5.2","2.1","15.7","0.0","0.8","207.0"
"Chase Claypool","PIT","69.7","893.5","6.8","8.3","44.2","0.6","0.9","206.5"
"Deebo Samuel","SF","70.5","898.6","4.7","13.5","99.2","0.7","0.8","201.2"
"Jerry Jeudy","DEN","68.9","981.2","5.2","0.0","0.0","0.0","0.8","196.6"
"Jarvis Landry","CLE","73.5","884.9","5.1","1.9","9.9","0.3","0.8","193.9"
"Michael Thomas","NO","75.4","898.2","4.9","0.3","-0.8","0.0","0.7","193.5"
"Michael Gallup","DAL","64.2","942.3","5.9","0.0","0.0","0.0","0.6","192.5"
"Laviska Shenault Jr.","JAC","70.1","771.0","5.0","19.2","106.5","0.5","0.7","189.3"
"DeVante Parker","MIA","67.1","856.4","5.7","0.0","0.0","0.0","0.7","185.9"
"Curtis Samuel","WAS","63.4","747.2","4.9","24.7","128.6","1.1","0.7","185.3"
"Marquise Brown","BAL","61.0","823.4","7.0","1.5","8.0","0.0","0.6","184.9"
"Will Fuller V","MIA","66.5","847.9","5.3","0.0","0.0","0.0","0.6","181.9"
"DeVonta Smith","PHI","63.3","890.0","4.8","1.0","6.2","0.0","1.2","179.5"
"Corey Davis","NYJ","68.1","883.5","3.8","0.0","0.0","0.0","0.8","177.8"
"Mike Williams","LAC","55.2","902.2","5.4","0.3","0.5","0.0","0.6","176.6"
"T.Y. Hilton","IND","62.6","829.0","5.4","0.0","0.0","0.0","0.6","176.6"
"Darnell Mooney","CHI","64.6","768.2","4.5","2.7","15.5","0.0","0.7","168.9"
"Marvin Jones Jr.","JAC","60.1","761.7","5.4","0.3","0.0","0.0","0.6","167.4"
"Antonio Brown","TB","61.4","686.1","6.0","2.0","11.4","0.0","0.6","165.8"
"Cole Beasley","BUF","64.0","738.9","4.4","0.0","0.0","0.0","0.6","163.2"
"Russell Gage","ATL","66.6","724.4","4.1","1.3","6.1","0.0","0.6","162.8"
"Jaylen Waddle","MIA","57.2","765.6","4.7","1.0","5.6","0.0","1.2","160.0"
"Mecole Hardman","KC","51.6","720.6","5.5","6.4","43.8","0.1","1.7","158.5"
"Emmanuel Sanders","BUF","57.0","696.4","5.0","1.1","6.7","0.1","0.6","156.1"
"Breshad Perriman","DET","53.3","774.8","4.0","1.7","9.9","0.0","0.1","155.8"
"Michael Pittman Jr.","IND","56.9","744.0","3.9","3.4","22.6","0.0","0.7","155.8"
"Tyrell Williams","DET","53.6","774.7","4.0","0.0","0.0","0.0","0.7","153.5"
"Henry Ruggs III","LV","49.2","758.8","4.1","7.6","42.0","0.1","1.7","151.5"
"Jalen Reagor","PHI","53.8","724.1","3.8","3.1","17.5","0.1","0.7","150.0"
"Nelson Agholor","NE","51.3","724.1","4.4","0.3","1.3","0.0","0.7","148.9"
